star_name,served_arpt,fixes
GMANN.TEJAS5,IAH,GMANN CITTE TEJAS RIDLR BEEEP HOWLN
GNDLF.GNDLF2,ATL,GNDLF HALRR SHULR JNGLE QUBIT
GOATZ.GOATZ2,LAX,GOATZ DIRBY PHUNN SHHOW ZAPPP BUFIE SLI TRNDO
GOATZ.KARLB3,ONT,GOATZ DIRBY PHUNN SHHOW OLLLY KARLB POXKU PDZ
GOPAC.GOPAC3,57C BUU ENW ETB HXF MKE MWC PWK RAC UES UGN,GOPAC TAAIL
GRACE.HAYNZ7,PIT,GRACE HAYNZ
GRAYM.GRAYM6,BED BVY FIT LWM,GRAYM GASSE DREEM
GRAYT.GRAYT2,DTW,GRAYT HYPED MERFI
GRAYT.LAYKS2,DTW,GRAYT LAYKS STAAT MCHGN HRRON
GREGS.GIBBI2,DFW,GREGS ODEEN GIBBI
GREGS.GREGS1,ADS DAL DTO F41 F46 HQZ JWY LNC RBD TKI,GREGS
GREGS.HERBZ2,ADS DAL DTO F41 F46 HQZ JWY LNC RBD TKI,GREGS GUUCH HERBZ CROEW
GREGS.JFRYE5,ADS DAL DTO F41 F46 HQZ JWY LNC RBD TKI,GREGS MNKEE JFRYE
GREGS.SHAAM2,DFW,GREGS ROWDI SHAAM
GRNCH.GRNCH5,MCO,GRNCH BUGGZ BLAYK
GTOUT.GTOUT1,MCO,GTOUT TUGLE BANYA
GUERA.GUERA2,CMA NTD OXR,GUERA
GULLI.GULLI3,1K4 CHK GOK HSD OKC OUN PWA RCE RQO SNL TIK,GULLI
HANBL.HANBL3,DTW,HANBL PRWLR HEMIE
HANBL.LECTR3,DTW,HANBL LECTR FAAVA SIZOR
HAR.BOJID4,PHL,HAR LRP TRAGG BUNTS SCOOL
HAR.BUNTS3,ILG MQS PHL PNE TTN,HAR LRP BUNTS
HAR.HAR5,WRI,HAR LRP BUNTS NAGGS CYN
HARTT.EELZA4,RNO,KLUBS EELZA BEETH HIWAA BACRT FMG
HAWKZ.HAWKZ8,SEA,HAWKZ LIINE
HAYLL.HAYLL3,DTW,HAYLL VCTRZ MAAZE GRBAC
HAYLL.VCTRZ2,DTW,HAYLL VCTRZ HYSMN UUOFM
HEDEE.HEDEE1,HAO I69 LUK,HEDEE KEFKA
HELNS.HELNS6,HIO PDX TTD UAO,HELNS KRATR BTG
HENBY.HENBY1,GSO INT,HENBY GSO
HGO.OZZZY5,COS,HGO OZZZY ADANE
HHOOD.HHOOD5,PDX,HHOOD BEEVS BLRUN
HILIE.HILIE3,GEG SFF SKA,HILIE ROPES
HILRS.TIMMO1,OFF OMA,HILRS TIMMO MOONR
HLNDS.BUKHD3,6A2 CCO CVC D73 FFC FTY HMP LZU MGE PDK PUJ RYY VPC,HLNDS BUKHD
HLYWD.BRUEN2,LAX,HLYWD BRUEN AVATR TRUBL EMMMY WHDDN SHRTZ
HLYWD.HLYWD1,LAX,HLYWD BRUEN AVATR DAAAY WADUP NEILE SEAVU
HOBRK.HOBRK4,MEM,HOBRK
HOBTT.HOBTT2,ATL,HOBTT ENSLL
HOTAR.HOTAR1,CRG JAX NIP NRB SGJ VQQ,JABOR HOTAR
HOWRY.HOWRY3,OFF OMA,HOWRY BOYSS
HSKNS.HSKNS1,ELP,HSKNS FINAG BECON
HUBRD.HUBRD1,SAN,HUBRD CARDI TORIE
HUDZY.HUDZY5,54T 6R3 AXH CXO DWH EFD GLS HOU HPY IAH IWS LBX LVJ SGR T00 T41 T78 TME,HUDZY CLWSN SWWAA
